Project,Tracker,Priority,Estimated time,Private,Effort,Subject_clean,N of Part
105.1 GADSA - ISO 27001,Task,Trivial,3.0,No,6.0,gap analysis initial presentation of result,2
105.1 GADSA - ISO 27001,Task,Trivial,2.0,No,4.0,gap analysis initial pre presentation result,2
105.1 GADSA - ISO 27001,Task,Trivial,4.0,No,12.0,initial gap analysis report,3
105.1 GADSA - ISO 27001,Task,Trivial,16.0,No,48.0,gap analysis inicial,3
105.1 GADSA - ISO 27001,Task,Trivial,1.0,No,4.0,project kickoff,4
105.1 GADSA - ISO 27001,Task,Trivial,1.0,No,4.0,kickoff,4
106.1 Effizency - ISO 27001,Task,Trivial,1.0,No,2.0,kickoff,2
106.1 Effizency - ISO 27001,Task,Trivial,2.0,No,6.0,gap analysis initial presentation of result,3
106.1 Effizency - ISO 27001,Task,Trivial,0.0,No,0.0,gap analysis initial pre presentation result,1
106.1 Effizency - ISO 27001,Task,Trivial,4.0,No,12.0,initial gap analysis report,3
106.1 Effizency - ISO 27001,Task,Trivial,12.0,No,36.0,gap analysis inicial,3
106.1 Effizency - ISO 27001,Task,Trivial,1.0,No,3.0,project kickoff,3
106.1 Effizency - ISO 27001,Task,Trivial,8.0,Yes,8.0,preparation workshop,1
106.1 Effizency - ISO 27001,Task,Trivial,8.0,Yes,8.0,preparation workshop,1
106.1 Effizency - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 8 capacity and availability management business continuity,2
106.1 Effizency - ISO 27001,Task,Critical,2.0,No,2.0,workshop 7 product development,1
106.1 Effizency - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 6 purchase and legal,2
106.1 Effizency - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 5 information security in hr marketing,1
106.1 Effizency - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 4 vulnerability problem and incident management,2
106.1 Effizency - ISO 27001,Task,Trivial,2.5,No,2.5,workshop 3 physical and logical control,1
106.1 Effizency - ISO 27001,Task,Trivial,2.5,No,2.5,workshop 2 information security management system integrated system management,1
106.1 Effizency - ISO 27001,Task,Trivial,2.5,No,5.0,workshop 1 information security risk analysis and treatment,2
106.2 Effizency - RGPD,Task,Trivial,2.0,Yes,2.0,workshop plan,1
106.2 Effizency - RGPD,Task,Trivial,1.5,Yes,3.0,initial evaluation result report presentation,2
106.2 Effizency - RGPD,Task,Trivial,3.0,Yes,6.0,initial evaluation,2
106.2 Effizency - RGPD,Task,Trivial,2.0,Yes,2.0,accompaniment 3,1
106.2 Effizency - RGPD,Task,Trivial,2.0,Yes,2.0,followup 2,1
106.2 Effizency - RGPD,Task,Trivial,2.0,Yes,2.0,followup 1,1
106.2 Effizency - RGPD,Task,Trivial,2.0,Yes,2.0,workshop 3 data violation and order management,1
106.2 Effizency - RGPD,Task,Trivial,1.5,Yes,1.5,workshop 2 privacy policy and consent process,1
106.2 Effizency - RGPD,Task,Trivial,3.5,Yes,3.5,workshop 1 data treatment risk and sink,1
106.2 Effizency - RGPD,Task,Trivial,3.5,Yes,7.0,initial training,2
105.1 GADSA - RGPD,Task,Trivial,1.0,Yes,1.0,initial evaluation result report presentation,1
105.1 GADSA - RGPD,Task,Trivial,7.0,No,14.0,initial evaluation,2
105.1 GADSA - RGPD,Task,Trivial,2.0,No,2.0,workshop plan,1
105.1 GADSA - RGPD,Task,Trivial,3.5,No,3.5,initial training,1
105.1 GADSA - RGPD,Task,Trivial,1.0,No,2.0,kickoff meeting,2
105.1 GADSA - RGPD,Task,Trivial,1.0,No,2.0,prekickoff meeting,2
105.1 GADSA - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
105.1 GADSA - RGPD,Task,Trivial,1.5,No,1.5,monitoring meeting 2,1
105.1 GADSA - RGPD,Task,Trivial,6.0,No,6.0,monitoring meeting 1,1
105.1 GADSA - RGPD,Task,Trivial,1.5,No,1.5,workshop 4 data violation and order management,1
105.1 GADSA - RGPD,Task,Trivial,3.0,No,3.0,workshop 3 privacy policy and consent process,1
105.1 GADSA - RGPD,Task,Trivial,1.5,No,1.5,workshop 2 risk treatment process,1
105.1 GADSA - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,accompaniment 8 quality,1
107.1 Cycloid - ISO 20000,Task,Trivial,2.0,Yes,2.0,accompaniment 7 service management,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,monitoring 6 organizational context swot analysis integrated policy interested party and system objective,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,followup 5 ticket tool request changesreclamations incident incident problem and incident,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,accompaniment 4 service management metric report kickoff,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,followup 1 service strategy service catalog process strategic management process service development process,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,8.0,workshop 10 labor legislation in conciliation otica,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,4.0,workshop 9 performance and improvement assessment,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,8.0,accompaniment 3 service management service management process service plan customer satisfaction question,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,Yes,8.0,accompaniment 2 establishment and service delivery process planning service transition service delivery management,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,4.0,workshop 8 planning and operationalization,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,8.0,workshop 7 support,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,12.0,workshop 6 context of the organization and leadership,3
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,8.0,workshop 5 capacity continuity and availability,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,8.0,workshop 4 incident management request and service change,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,4.0,workshop 3 service management,1
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,8.0,workshop 2 establishment and service delivery,2
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,8.0,workshop 1 strategy,2
107.1 Cycloid - ISO 20000,Task,Trivial,2.0,No,6.0,initial audit presentation of result,3
107.1 Cycloid - ISO 20000,Task,Trivial,2.0,No,6.0,initial audit pre presentation result,3
107.1 Cycloid - ISO 20000,Task,Trivial,4.0,No,20.0,initial audit report,5
107.1 Cycloid - ISO 20000,Task,Trivial,16.0,No,80.0,initial audit,5
107.1 Cycloid - ISO 20000,Task,Trivial,1.0,No,5.0,project kickoff,5
107.1 Cycloid - ISO 20000,Task,Trivial,1.0,No,4.0,kickoff,4
109.1 Freebalance - CMMI Development,Task,Trivial,8.0,No,24.0,gap analysis report presentation,3
109.1 Freebalance - CMMI Development,Task,Trivial,8.0,No,16.0,gap analysis report preparation,2
109.1 Freebalance - CMMI Development,Task,Trivial,16.0,No,48.0,initial gap analysis,3
109.1 Freebalance - CMMI Development,Task,Trivial,2.0,Yes,6.0,prekickoff meeting,3
109.1 Freebalance - CMMI Development,Task,Trivial,2.0,No,6.0,kickoff meeting,3
109.1 Freebalance - CMMI Development,Task,Trivial,0.5,No,0.5,project configuration cost center creation,1
109.1 Freebalance - CMMI Development,Task,Trivial,0.5,No,0.5,project configuration dropbox project folder creation,1
109.1 Freebalance - CMMI Development,Task,Trivial,0.5,No,0.5,project configuration project creation,1
109.1 Freebalance - CMMI Development,Task,Trivial,0.5,No,0.5,project configuration project instance creation,1
109.1 Freebalance - CMMI Development,Task,Trivial,0.5,No,0.5,project dissemination,1
109.1 Freebalance - CMMI Development,Task,Trivial,1.0,No,1.0,project planning,1
109.1 Freebalance - CMMI Development,Task,Trivial,0.0,No,0.0,project configuration,1
109.1 Freebalance - CMMI Development,Task,Trivial,2.0,No,2.0,team definition,1
109.1 Freebalance - CMMI Services ,Task,Trivial,3.0,No,9.0,cmmi training,3
109.1 Freebalance - CMMI Services ,Task,Trivial,16.0,No,48.0,initial gap analysis,3
109.1 Freebalance - CMMI Services ,Task,Trivial,8.0,No,24.0,gap analysis report presentation,3
109.1 Freebalance - CMMI Services ,Task,Trivial,16.0,No,32.0,gap analysis report preparation,2
109.1 Freebalance - CMMI Services ,Task,Trivial,1.0,No,1.0,project dissemination,1
109.1 Freebalance - CMMI Services ,Task,Trivial,2.0,No,2.0,project plan,1
109.1 Freebalance - CMMI Services ,Task,Trivial,1.0,No,1.0,financial adjudication,1
109.1 Freebalance - CMMI Services ,Task,Trivial,2.0,No,6.0,kickoff meeting,3
109.1 Freebalance - CMMI Services ,Task,Trivial,0.5,No,0.5,project configuration cost center creation,1
109.1 Freebalance - CMMI Services ,Task,Trivial,2.0,No,6.0,prekickoff meeting,3
109.1 Freebalance - CMMI Services ,Task,Trivial,1.0,No,1.0,project configuration dropbox project folder creation,1
109.1 Freebalance - CMMI Services ,Task,Trivial,1.0,No,1.0,project configuration project creation,1
109.1 Freebalance - CMMI Services ,Task,Trivial,1.0,No,1.0,project configuration project instance creation,1
109.1 Freebalance - CMMI Services ,Task,Trivial,2.0,No,2.0,project planning,1
109.1 Freebalance - CMMI Services ,Task,Trivial,2.0,No,2.0,team definition,1
113.1 Valuedate - ISO 27001,Task,Trivial,0.5,Yes,1.0,gap analysis alignment,2
113.1 Valuedate - ISO 27001,Task,Trivial,3.0,Yes,3.0,gap analysis preparation,1
113.1 Valuedate - ISO 27001,Task,Trivial,2.0,Yes,2.0,prepickoff preparation initial task,1
113.1 Valuedate - ISO 27001,Task,Trivial,9.0,Yes,9.0,introductory,1
113.1 Valuedate - ISO 27001,Task,Trivial,7.0,No,14.0,workshop 3 physical and logical control,2
113.1 Valuedate - ISO 27001,Task,Trivial,6.0,No,6.0,workshop 2 information security management system integrated system management,1
113.1 Valuedate - ISO 27001,Task,Trivial,3.25,No,6.5,workshop 1 information security risk analysis and treatment,2
113.1 Valuedate - ISO 27001,Task,Trivial,3.5,No,3.5,initial gap analysis report,1
113.1 Valuedate - ISO 27001,Task,Trivial,12.0,No,36.0,gap analysis inicial,3
113.1 Valuedate - ISO 27001,Task,Trivial,2.0,No,6.0,project kickoff,3
113.1 Valuedate - ISO 27001,Task,Trivial,1.0,No,2.0,kickoff,2
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,internal kickoff,1
40.5 Innowave - ISO 27001,Task,Trivial,1.0,No,1.0,project planning,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,project kickoff,1
40.5 Innowave - ISO 27001,Task,Trivial,1.0,No,1.0,kickoff,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,Yes,4.0,preparation external audit phase 1,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,Yes,2.0,action plan,1
40.5 Innowave - ISO 27001,Task,Trivial,8.0,Yes,8.0,external audit phase 1,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,Yes,0.0,preparation external audit phase 2,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,Yes,0.0,external audit phase 2,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,stock plan,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,final evaluation report,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,final evaluation pre presentation of result,1
40.5 Innowave - ISO 27001,Task,Trivial,16.0,No,16.0,final evaluation,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,final evaluation presentation of result,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,preparation of the initial evaluation,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,initial evaluation presentation of result,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,initial evaluation pre presentation result,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,No,4.0,report initial evaluation,1
40.5 Innowave - ISO 27001,Task,Trivial,16.0,No,16.0,initial evaluation,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,intermediate assessment presentation of the result,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,intermediate rating report,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,intermediate evaluation,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,interimation pre presentation of result,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,internal design closure,1
40.5 Innowave - ISO 27001,Task,Trivial,2.0,No,2.0,project zip,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,No,4.0,workshop 8 capacity management availability and continuity of business,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 7 product development,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 6 shopping and legal,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,No,4.0,workshop 5 information security in hr and marketing,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,No,4.0,workshop 4 troubleshootingvulnerabilities and incident,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 3 physical and logical control,1
40.5 Innowave - ISO 27001,Task,Trivial,0.0,No,0.0,workshop 2 information security management system and integrated management system,1
40.5 Innowave - ISO 27001,Task,Trivial,4.0,No,4.0,workshop 1 risk management,1
40.5 Innowave - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,initial training,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
40.5 Innowave - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
40.5 Innowave - RGPD,Task,Trivial,2.0,Yes,2.0,steering 5 meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,Yes,2.0,steering 4 meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,Yes,2.0,steering 3 meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,Yes,2.0,steering 2 meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,Yes,2.0,steering 1 meeting,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
40.5 Innowave - RGPD,Task,Trivial,8.0,No,8.0,final evaluation plan,1
40.5 Innowave - RGPD,Task,Trivial,0.0,No,0.0,management review,1
40.5 Innowave - RGPD,Task,Trivial,0.0,No,0.0,workshop 6 information security,1
40.5 Innowave - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,workshop 4 data violation and order management,1
40.5 Innowave - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
40.5 Innowave - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
40.5 Innowave - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
40.5 Innowave - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
40.5 Innowave - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
40.5 Innowave - RGPD,Task,Trivial,0.0,No,0.0,process training,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,internal closure,1
40.5 Innowave - RGPD,Task,Trivial,2.0,No,2.0,external closure,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,No,2.0,final gap analysis report presentation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,4.0,No,4.0,final gap analysis report preparation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,16.0,No,16.0,final gap analysis,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,5.0,No,5.0,final gap analysis plan and preparation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 3,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 2,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 1,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,process monitoring,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,project monitoring,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,16.0,No,16.0,initial gap analysis,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,No,2.0,gap analysis report presentation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,8.0,No,8.0,gap analysis report preparation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,10.0,No,10.0,analyze gap,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,intermediate gap analysis report preparation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,intermediate gap analysis presentation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,fix intermediate gap analysis issue,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,intermediate gap analysis,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,intermediate gap analysis plan and preparation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,1.0,No,1.0,kickoff meeting,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.5,No,0.5,project configuration cost center creation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,prekickoff meeting,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.5,No,0.5,project configuration dropbox project folder creation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.5,No,0.5,project configuration project creation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.5,No,0.5,project configuration project instance creation,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,1.0,No,1.0,project planning,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,project configuration,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.5,No,0.5,team definition,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,1.0,No,1.0,press release,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,No,2.0,project closure video,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,No,2.0,project closure,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,No,2.0,internal closure,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,4.0,No,4.0,readiness review meeting,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,16.0,No,16.0,evidence mapping,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 7,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 6,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,followup meeting 5,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,2.0,Yes,2.0,monitoring meeting 4,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,process training,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,steering meeting,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,workshop project management,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,workshop requirement,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,workshop estimating,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,workshop quality,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,4.0,No,4.0,workshop organization structure,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,6.0,No,6.0,workshop cmmi devops,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,4.0,No,4.0,cmmi training,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,steering meeting,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,pilot monitoring,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,0.0,No,0.0,pilot training,1
40.6 InnoWave - CMMI Development 3 Renovação,Task,Trivial,22.0,No,22.0,workshop plan and preparation,1
47.3 Xpand IT - ISO 27001,Task,Trivial,1.0,Yes,3.0,kickoff,3
47.3 Xpand IT - ISO 27001,Task,Trivial,1.0,Yes,4.0,kickoff,4
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,Yes,8.0,final report presentation,4
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,Yes,4.0,preliminary presentation of the report,2
47.3 Xpand IT - ISO 27001,Task,Trivial,12.0,Yes,36.0,initial gap analysis,3
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 8 capacity and availability management business continuity,1
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 7 product development,2
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 6 purchase and legal,1
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 5 information security in hr marketing,1
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 4 vulnerability problem and incident management,2
47.3 Xpand IT - ISO 27001,Task,Trivial,5.0,No,5.0,workshop 3 physical and logical control,1
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 2 information security management system integrated system management,1
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,No,6.0,workshop 1 information security risk analysis and treatment,2
47.3 Xpand IT - ISO 27001,Task,Trivial,0.5,Yes,0.5,xpand it iso 27001,1
47.3 Xpand IT - ISO 27001,Task,Trivial,0.5,Yes,0.5,xpand it iso 27001,1
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,Yes,3.0,xpand it preparation of accompaniment,1
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,Yes,4.0,xpand it preparation of accompaniment,2
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,Yes,3.0,accompaniment 4,1
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,Yes,6.0,accompaniment 3,2
47.3 Xpand IT - ISO 27001,Task,Trivial,3.0,Yes,3.0,followup 2,1
47.3 Xpand IT - ISO 27001,Task,Trivial,2.0,Yes,2.0,followup 1,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.5,No,0.5,project configuration cost center creation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,prekickoff meeting,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.5,No,0.5,project configuration dropbox project folder creation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.5,No,0.5,project configuration project creation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.5,No,0.5,project configuration project instance creation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,project planning,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,0.0,No,0.0,project configuration,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,team definition,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,final gap analysis report presentation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,4.0,No,4.0,final gap analysis report preparation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,24.0,No,24.0,final gap analysis,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,8.0,No,8.0,final gap analysis plan and preparation,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,process monitoring,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,project monitoring,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,20.0,No,20.0,initial gap analysis,1
77.1 Deloitte - CMMI Development 3,Task,Trivial,2.0,No,2.0,gap analysis report presentation,1
